id,title,description
lesson_dock_1.00,L1: Handling Dock Lines,Learn how to approach the dock methodically to ensure smooth arrivals.
lesson_docking_1.10,Departing the Dock – What to Expect,"As the boat prepares to leave the dock, your role may vary depending on experience and instruction. Understand what to expect and how to remain helpful and safe."
lesson_dock_2.00,L2: Anchoring - Setting Up,Anchoring starts with understanding the seabed and wind direction.
lesson_dock_3.00,Basics of Side Ties,Side ties are useful when rafting up with other boats.
lesson_dock_4.00,Returning to Dock - Docking Procedure,Slow and controlled movements are key when entering a slip.
lesson_dock_5.00,Basic Deck Safety and Boom Awareness,Always maintain three points of contact while on deck.
lesson_dock_6.00,How to Assist in Docking,Crew should be stationed and aware of their docking role.
lesson_dock_7.00,How to Assist in Anchoring,Listen carefully to helm commands and anticipate needs.
lesson_dock_8.00,Lowering the Anchor Safely,Approach into the wind and stop the boat before dropping anchor.
lesson_dock_9.00,Raising the Anchor Safely,Coordinate engine movement with winch operation to reduce strain.
